batch_code,card_id,qr_url
"BATCH_20251108_114924","card_93d9a6fca357db69","https://wedding-gift-app.vercel.app/card/card_93d9a6fca357db69"
"BATCH_20251108_114924","card_401bfca901aa0fff","https://wedding-gift-app.vercel.app/card/card_401bfca901aa0fff"
"BATCH_20251108_114924","card_6c0707ee4a762043","https://wedding-gift-app.vercel.app/card/card_6c0707ee4a762043"
"BATCH_20251108_114924","card_f031ccb90d2fb0e4","https://wedding-gift-app.vercel.app/card/card_f031ccb90d2fb0e4"
"BATCH_20251108_114924","card_49f2dbb125c43d9d","https://wedding-gift-app.vercel.app/card/card_49f2dbb125c43d9d"
"BATCH_20251108_114924","card_4bb73dcd2fa74da8","https://wedding-gift-app.vercel.app/card/card_4bb73dcd2fa74da8"
"BATCH_20251108_114924","card_d43b0e1d12809f86","https://wedding-gift-app.vercel.app/card/card_d43b0e1d12809f86"
"BATCH_20251108_114924","card_1eed7f9fad643b90","https://wedding-gift-app.vercel.app/card/card_1eed7f9fad643b90"
"BATCH_20251108_114924","card_752b4e5711036bfb","https://wedding-gift-app.vercel.app/card/card_752b4e5711036bfb"
"BATCH_20251108_114924","card_90e25d0d86371e75","https://wedding-gift-app.vercel.app/card/card_90e25d0d86371e75"
