batch_code,card_id,qr_url
"BATCH_20251108_132554","card_814788b282eb627c","https://wedding-gift-app.vercel.app/card/card_814788b282eb627c"
"BATCH_20251108_132554","card_77feb617ed57126b","https://wedding-gift-app.vercel.app/card/card_77feb617ed57126b"
"BATCH_20251108_132554","card_90da412e04a584d0","https://wedding-gift-app.vercel.app/card/card_90da412e04a584d0"
"BATCH_20251108_132554","card_da6845a3ae902df0","https://wedding-gift-app.vercel.app/card/card_da6845a3ae902df0"
"BATCH_20251108_132554","card_21e088bad9c6c5db","https://wedding-gift-app.vercel.app/card/card_21e088bad9c6c5db"
"BATCH_20251108_132554","card_48323cf5fce2084d","https://wedding-gift-app.vercel.app/card/card_48323cf5fce2084d"
"BATCH_20251108_132554","card_62486543205ecae3","https://wedding-gift-app.vercel.app/card/card_62486543205ecae3"
"BATCH_20251108_132554","card_48974b9cc02f7c55","https://wedding-gift-app.vercel.app/card/card_48974b9cc02f7c55"
"BATCH_20251108_132554","card_f5656ea3d6e5dc20","https://wedding-gift-app.vercel.app/card/card_f5656ea3d6e5dc20"
"BATCH_20251108_132554","card_0732d735408f0b3e","https://wedding-gift-app.vercel.app/card/card_0732d735408f0b3e"
